DoB,SApM,SLpM,height,name,reach,record,stance,strAcc,strDef,subAvg,tdAcc,tdAvg,tdDef,weight
Sep 26 1984,4.09,3.68,"5' 8""",Ross Pearson,69,20-16-0 (1 NC),Orthodox,40%,62%,0.0,35%,0.74,75%,155
--,0.00,0.00,"5' 5""",Jason McLean,,6-7-0,,0%,0%,0.0,0%,0.00,0%,145
Jan 12 1980,2.00,0.00,"6' 0""",Dave Phillips,,13-7-0,Orthodox,0%,25%,10.0,0%,0.00,0%,185
Jul 25 1990,3.33,0.60,"5' 5""",Nayara Maia,66,7-1-1,Orthodox,36%,43%,1.0,33%,1.00,0%,125
Nov 07 1991,4.19,5.02,"6' 1""",Mike Malott,73,8-1-1,Orthodox,40%,54%,0.8,33%,1.55,0%,170
Apr 21 1996,2.93,1.82,"5' 10""",Claudio Puelles,72,13-3-0,Southpaw,49%,47%,1.4,30%,2.41,60%,155
--,1.71,0.66,"6' 0""",Pete Rogers Jr.,,2-4-0,,15%,65%,0.0,0%,0.00,0%,145
Jul 06 1987,6.92,2.31,"6' 2""",Nick Roehrick,,7-1-0,Orthodox,17%,44%,0.0,0%,0.00,0%,205
Jul 15 1976,5.42,2.89,"6' 0""",Antony Rea,,33-15-0,Orthodox,28%,42%,0.0,0%,0.00,100%,205
Dec 04 1989,4.13,3.20,"6' 1""",Mike Rhodes,74,10-5-0,Orthodox,39%,64%,0.5,33%,0.96,75%,170
Feb 24 1965,0.00,0.00,"6' 2""",Andre Roberts,,14-2-1,Orthodox,0%,0%,0.0,0%,0.00,0%,345
Sep 05 1992,6.11,1.59,"5' 5""",Victor Rodriguez,67,7-4-0,Switch,37%,50%,0.0,0%,0.00,0%,125
Apr 29 1987,3.05,4.80,"5' 6""",Marina Rodriguez,65,16-2-2,Orthodox,47%,57%,0.2,33%,0.19,65%,115
--,0.00,0.00,"5' 9""",Tyrone Roberts,,43-12-1,Orthodox,0%,0%,0.0,0%,0.00,0%,185
Feb 06 1992,2.30,4.01,"6' 4""",Aleksandar Rakic,78,14-3-0,Orthodox,50%,53%,0.2,25%,0.82,90%,205
Feb 24 1979,1.95,1.00,"5' 8""",Vitor Ribeiro,,20-5-0,Orthodox,28%,48%,1.2,26%,1.58,100%,154
Dec 31 1986,5.22,7.42,"6' 1""",Daniel Rodriguez,74,17-3-0,Southpaw,50%,56%,0.1,50%,0.63,63%,170
Nov 11 1992,3.02,3.91,"5' 3""",Piera Rodriguez,63,9-0-0,Orthodox,47%,60%,0.0,39%,3.67,77%,115
Aug 19 1977,1.15,1.85,"6' 4""",Ricco Rodriguez,,53-25-0 (1 NC),Orthodox,51%,61%,1.0,39%,2.30,40%,265
Aug 10 1994,8.40,5.93,"5' 7""",Theo Rlayang,65,5-1-0,Orthodox,48%,40%,0.0,40%,2.00,0%,145
Feb 21 1995,4.89,2.95,"5' 1""",Tabatha Ricci,61,7-1-0,Orthodox,37%,58%,0.0,45%,3.95,0%,115
Oct 16 1998,3.18,2.57,"5' 5""",Mitch Raposo,64,5-1-0,Switch,25%,56%,0.0,66%,3.67,0%,125
--,0.00,0.00,"6' 2""",Joey Roberts,,4-3-0,,0%,0%,0.0,0%,0.00,0%,200
Jan 14 1986,2.74,3.01,"6' 1""",Matthew Riddle,76,8-3-0 (2 NC),Southpaw,42%,54%,0.5,50%,3.51,89%,170
Jun 12 1985,2.42,1.82,"5' 3""",Nicdali Rivera-Calanoc,,9-10-0,,20%,78%,0.0,0%,0.00,0%,105
--,5.29,17.65,"6' 5""",Rex Richards,,7-2-0,,58%,72%,0.0,0%,0.00,0%,265
Mar 20 1984,2.69,1.69,"6' 3""",Goran Reljic,81,15-8-0,Southpaw,37%,59%,1.1,50%,1.69,33%,205
Dec 10 1987,3.89,0.90,"5' 7""",Ray Rodriguez,70,16-8-0,Orthodox,27%,40%,0.0,50%,1.42,44%,135
Jul 05 1984,9.40,3.73,"5' 3""",Kali Robbins,63,6-3-0,Orthodox,46%,44%,0.0,33%,2.00,0%,115
Aug 24 1986,3.86,3.08,"5' 9""",Charles Rosa,69,14-8-0,Switch,36%,47%,1.0,35%,1.67,38%,145
Nov 03 1977,1.67,2.56,"6' 2""",Anthony Ruiz,,33-22-0,Orthodox,64%,28%,0.0,31%,1.43,21%,205
Nov 10 1981,2.47,3.43,"6' 1""",George Roop,72,15-13-1,Orthodox,34%,60%,0.1,57%,1.05,59%,135
May 22 1980,1.85,2.48,"5' 11""",Murilo Rua,,20-13-1,Orthodox,45%,53%,1.2,45%,1.97,37%,185
Dec 26 1989,3.77,4.75,"6' 4""",Dominick Reyes,77,12-4-0,Southpaw,50%,48%,0.4,28%,0.36,80%,205
Oct 17 1984,2.68,4.10,"6' 3""",Luke Rockhold,77,16-6-0,Southpaw,49%,53%,1.0,29%,0.70,65%,185
--,1.06,0.53,"6' 0""",Rick Roufus,,4-6-0,Southpaw,33%,33%,0.0,0%,0.00,50%,207
Apr 15 1978,4.77,2.17,"6' 0""",Ricardo Romero,76,11-3-0,Orthodox,55%,46%,3.3,10%,1.63,100%,205
Oct 08 1981,3.16,4.07,"5' 8""",Francisco Rivera,70,11-7-0 (1 NC),Orthodox,41%,68%,0.6,63%,1.01,68%,135
--,1.63,0.00,--,Kain Royer,,2-2-0,,0%,14%,4.1,0%,0.00,0%,185
--,0.00,0.00,"6' 1""",Thomas Ramirez,,0-1-0,Sideways,0%,0%,0.0,0%,0.00,0%,410
May 03 1974,3.02,1.93,"6' 1""",Pedro Rizzo,,20-11-0,Orthodox,34%,50%,0.0,28%,0.26,78%,241
May 27 1973,2.58,2.08,"5' 10""",Gideon Ray,,17-15-1,Southpaw,40%,53%,0.0,100%,1.49,0%,185
Feb 10 1979,3.48,3.52,"6' 0""",Nick Ring,74,14-4-0,Southpaw,42%,62%,0.3,36%,1.36,52%,185
--,0.00,0.00,"5' 8""",Albert Rios,,13-6-0,,0%,0%,0.0,0%,0.00,0%,145
--,3.90,4.36,--,Jonathan Rivera,,4-2-0,,49%,60%,0.0,0%,0.00,0%,155
Nov 11 1986,3.90,7.79,"6' 0""",Gaston Reyno,,6-2-0 (2 NC),,62%,44%,11.7,0%,0.00,0%,145
--,0.00,0.00,"6' 1""",Andrew Ramm,,4-4-0,,0%,0%,0.0,0%,0.00,0%,160
Dec 23 1984,1.40,1.20,"5' 3""",Iony Razafiarison,,2-1-0 (1 NC),,42%,53%,0.0,50%,2.00,75%,145
Feb 24 1965,2.06,5.59,"6' 1""",Bas Rutten,,28-4-1,Orthodox,61%,79%,0.0,0%,0.00,0%,205
Jan 06 1985,3.04,1.83,"5' 4""",Wilson Reis,65,23-10-0,Southpaw,29%,55%,0.6,42%,5.15,47%,125
Dec 31 1986,3.62,1.10,"6' 2""",Chance Rencountre,75,14-4-0,Southpaw,20%,49%,0.3,26%,1.35,16%,170
Sep 27 1970,6.00,1.00,"5' 9""",Shannon Ritch,,56-83-0 (4 NC),Orthodox,100%,50%,0.0,0%,0.00,0%,190
--,8.41,0.00,"5' 10""",Mario Rivera,,6-8-0,,0%,20%,0.0,0%,0.00,0%,170
Feb 14 1989,5.07,3.36,"5' 6""",Irwin Rivera,67,10-6-0,Southpaw,44%,57%,0.0,16%,1.00,70%,135
Jun 03 1986,2.48,2.54,"5' 6""",Mara Romero Borella,69,12-9-0 (2 NC),Orthodox,37%,71%,0.2,44%,1.83,66%,125
Dec 24 1985,3.39,3.54,"5' 10""",Jesse Ronson,70,21-12-0 (1 NC),Southpaw,47%,57%,0.5,28%,0.46,57%,155
Jan 05 1989,5.53,4.29,"5' 11""",Dave Rickels,,18-4-0 (2 NC),,59%,42%,0.0,0%,0.00,25%,155
Oct 08 2004,0.90,1.30,"5' 9""",Raul Rosas Jr.,67,7-0-0,Switch,48%,33%,2.5,62%,4.23,0%,135
--,0.21,1.13,"6' 0""",Keith Rockel,,12-4-1,Orthodox,73%,66%,4.6,75%,4.63,100%,185
Aug 04 1986,1.52,2.08,"6' 2""",Jared Rosholt,75,14-4-0,Orthodox,46%,59%,0.1,41%,1.83,66%,265
Jul 29 1980,3.20,0.67,"5' 5""",Justin Robbins,,14-18-1,,37%,47%,0.0,0%,0.00,0%,135
Jun 10 1967,1.40,0.20,"5' 7""",Eddie Ruiz,,1-1-0,Orthodox,25%,47%,0.0,12%,2.00,0%,155
--,0.00,0.00,"5' 7""",Steve Ramirez,,5-2-0,,0%,0%,0.0,0%,0.00,0%,125
Sep 30 1991,3.53,4.71,"5' 7""",Brad Riddell,71,10-4-0,Orthodox,53%,53%,0.0,36%,1.77,63%,155
Nov 11 1991,2.14,1.37,"5' 8""",Diego Rivas,69,10-2-0,Orthodox,40%,52%,0.9,60%,1.79,64%,145
Jan 31 1972,2.49,0.75,"6' 0""",Kristian Rothaermel,,4-3-0,Open Stance,50%,41%,0.0,0%,0.00,0%,205
Sep 23 1982,1.69,2.41,"6' 0""",Joe Riggs,70,44-17-0 (1 NC),Southpaw,51%,57%,0.6,55%,2.45,62%,185
Jun 29 1983,2.62,2.55,"6' 1""",Ricky Rainey,77,12-6-0,Switch,48%,46%,0.0,18%,0.95,55%,170
Aug 26 1993,2.57,4.46,"5' 3""",Amanda Ribas,66,11-3-0,Orthodox,40%,70%,1.2,47%,2.19,88%,125
--,3.00,0.87,"5' 8""",Roberta Rovel,,4-1-0,,46%,26%,0.0,0%,0.00,100%,145
Oct 27 1988,3.84,2.04,"6' 3""",Karl Reed,78,6-1-0,Orthodox,44%,38%,0.0,22%,1.06,53%,205
Oct 06 1977,7.00,1.28,"5' 10""",Rodrigo Ruas,,4-5-1 (1 NC),Orthodox,35%,41%,0.0,0%,0.00,0%,185
Jun 03 1992,8.00,4.00,"5' 6""",Vernon Ramos Ho,,3-1-0,Orthodox,25%,55%,0.0,0%,0.00,0%,170
Nov 15 1975,0.00,0.00,"6' 1""",David Roberts,,5-8-0,Orthodox,0%,0%,0.0,0%,0.00,0%,170
Jun 08 1985,2.40,0.60,"6' 1""",Tim Roman,,3-4-0,,40%,40%,0.0,100%,1.00,16%,170
Jul 06 1981,2.99,1.68,"5' 10""",Mike Rio,70,10-5-0,Orthodox,39%,53%,1.0,27%,2.58,0%,155
Apr 27 1996,7.33,8.67,"5' 10""",Esteban Ribovics,69,11-0-0,Orthodox,35%,66%,0.0,0%,0.00,0%,155
--,0.00,0.00,"6' 0""",Johnny Rhodes,,2-1-0,Orthodox,0%,0%,0.0,0%,0.00,0%,210
Nov 11 1992,6.13,2.33,"5' 3""",Hilarie Rose,63,4-2-0,Orthodox,33%,44%,0.0,0%,0.00,100%,115
Apr 05 1979,2.31,2.62,"5' 10""",Benji Radach,,21-7-0 (1 NC),Orthodox,49%,51%,0.4,41%,1.06,71%,185
Mar 25 1990,2.93,3.73,"5' 10""",Stevie Ray,70,23-9-0,Southpaw,44%,54%,0.6,46%,0.75,55%,155
--,0.00,0.00,--,Rafael Rios,,4-2-0,,0%,0%,0.0,0%,0.00,0%,150
Aug 10 1971,1.12,1.26,"5' 10""",Kevin Randleman,,17-16-0,Orthodox,54%,57%,0.8,56%,2.00,30%,205
--,0.00,0.00,"6' 0""",John Renken,,18-28-4 (1 NC),Orthodox,0%,0%,0.0,0%,0.00,0%,190
Apr 30 1977,3.05,3.44,"6' 0""",Yoel Romero,73,13-5-0,Southpaw,49%,60%,0.0,30%,1.57,78%,185
Jan 25 1994,4.60,5.13,"6' 0""",Paulo Renato Junior,,10-2-0,Orthodox,46%,61%,0.0,0%,0.00,100%,265
Aug 11 1985,4.06,3.57,"5' 10""",Abdul Razak Alhassan,73,11-5-0,Orthodox,48%,56%,0.0,45%,1.04,52%,185
Aug 18 1975,0.00,0.00,"5' 4""",Chad Robichaux,,13-2-0,,0%,0%,0.0,0%,0.00,0%,135
Jun 23 1987,1.40,1.40,"5' 6""",Paul Ruiz,,7-4-0,,33%,75%,20.9,0%,0.00,100%,135
Feb 05 1997,3.53,5.20,"5' 9""",Solomon Renfro,72,8-2-0,Switch,44%,61%,0.0,50%,2.00,100%,170
Oct 20 1986,2.99,0.72,"5' 10""",Paul Redmond,,12-7-0,Orthodox,34%,41%,0.0,0%,0.00,50%,145
Jun 20 1977,3.52,3.20,"5' 6""",Marion Reneau,68,9-8-1,Orthodox,41%,59%,0.8,63%,0.62,50%,135
May 17 1995,2.93,2.28,"5' 5""",Gillian Robertson,63,11-7-0,Orthodox,48%,49%,1.0,41%,2.59,28%,125
Oct 17 1982,2.08,2.17,"6' 2""",Buddy Roberts,,12-3-0,Orthodox,34%,70%,0.7,0%,0.00,76%,185
Feb 09 1982,2.33,2.68,"6' 1""",Jake Rosholt,,12-5-0 (1 NC),Orthodox,53%,49%,1.8,68%,6.51,0%,185
Oct 02 1986,8.35,4.56,"5' 11""",Alex Reyes,73,13-3-0,Orthodox,46%,38%,0.0,0%,0.00,0%,170
Jul 18 1990,4.97,4.39,"6' 3""",Phil Rowe,80,10-3-0,Orthodox,52%,53%,0.5,37%,0.81,52%,170
Jan 26 1977,2.41,3.33,"5' 9""",Jared Rollins,,8-4-0,Orthodox,57%,39%,1.2,50%,2.50,50%,170
Dec 21 1980,0.00,0.00,"5' 9""",James Reese,,11-10-0,,0%,0%,0.0,0%,0.00,0%,155
Sep 27 1994,5.80,1.70,"6' 1""",Max Rohskopf,71,5-1-0,Orthodox,31%,42%,1.5,33%,3.00,0%,155
Feb 01 1987,4.14,4.17,"5' 7""",Ronda Rousey,66,12-2-0,Orthodox,52%,44%,4.8,68%,6.26,50%,135
Feb 25 1997,4.00,5.87,"5' 11""",Anthony Romero,70,8-0-0,Orthodox,52%,65%,0.0,22%,2.00,100%,155
Jun 29 1981,1.97,0.53,"5' 11""",Chad Reiner,,33-18-0,Orthodox,20%,46%,2.0,33%,0.99,25%,170
Dec 17 1997,2.43,3.31,"5' 7""",Christian Rodriguez,71,8-1-0,Orthodox,41%,56%,1.8,50%,0.88,56%,135
Nov 27 1968,7.91,6.19,"6' 4""",Colin Robinson,,10-12-0,Orthodox,69%,37%,5.2,100%,2.58,50%,243
Jan 23 1961,0.00,0.00,"6' 1""",Marco Ruas,,9-4-2,Orthodox,0%,0%,0.0,0%,0.00,0%,210
Oct 17 1981,4.63,3.71,"6' 4""",Ben Rothwell,78,39-14-0,Orthodox,42%,47%,0.4,34%,0.68,70%,265
Oct 21 1982,0.84,3.29,"6' 0""",Johnny Rees,,13-5-0 (1 NC),Orthodox,64%,47%,0.0,25%,1.15,50%,170
--,0.00,0.00,"5' 8""",John Reedy,,11-6-0,,0%,0%,0.0,0%,0.00,0%,155
--,0.00,0.00,"6' 4""",Kevin Rosier,,2-6-0,Orthodox,0%,0%,0.0,0%,0.00,0%,275
Jun 29 1989,3.90,4.03,"5' 4""",Jimmie Rivera,68,23-5-0,Orthodox,40%,60%,0.1,27%,0.88,92%,135
Jun 14 1990,2.07,4.93,--,Amador Ramirez,,5-4-0,,51%,69%,0.0,33%,1.00,0%,135
--,7.46,0.00,"5' 8""",Gilbert Rael,,1-3-0,,0%,37%,0.0,100%,4.86,0%,155
Oct 22 1995,3.07,5.73,"5' 6""",Kleydson Rodrigues,67,7-2-0,Orthodox,61%,48%,1.0,25%,1.00,66%,125
Jul 12 1981,1.85,1.24,"5' 10""",Carlos Eduardo Rocha,73,9-4-0,Orthodox,34%,55%,1.4,0%,0.00,52%,170
Nov 13 1996,11.69,10.37,"5' 9""",Pete Rodriguez,71,5-1-0,Switch,46%,44%,0.0,0%,0.00,100%,170
May 12 1989,8.43,7.15,"5' 6""",Shannon Ross,,13-6-0,Switch,38%,54%,0.0,0%,0.00,100%,125
--,0.00,0.00,--,Casey Ryan,,7-3-0,,0%,0%,0.0,0%,0.00,0%,185
Aug 16 1992,2.72,3.32,"5' 9""",Brandon Royval,68,14-6-0,Southpaw,36%,50%,2.4,100%,0.70,39%,125
Nov 18 1981,4.33,2.80,"6' 5""",Nick Rossborough,,26-19-1,,35%,35%,0.0,0%,0.00,100%,205
May 07 1999,3.20,1.27,"5' 6""",Luis Rodriguez,65,11-2-0,Orthodox,37%,54%,2.0,50%,2.00,100%,125
Feb 26 1990,4.19,3.67,"6' 1""",Khalil Rountree Jr.,76,12-5-0 (1 NC),Southpaw,38%,50%,0.1,0%,0.00,54%,205
Jul 02 1988,6.42,4.92,"5' 8""",Marcelo Rojo,71,16-10-0,Orthodox,39%,55%,0.0,50%,0.46,66%,145
Feb 17 1981,3.20,3.17,"6' 5""",Brett Rogers,81,17-10-0 (1 NC),Orthodox,44%,46%,0.0,0%,0.00,58%,265
--,0.67,3.03,"5' 5""",Matt Ramirez,,2-3-0,,50%,75%,0.0,16%,2.53,100%,125
Dec 17 1982,0.00,0.00,"6' 0""",Jeremiah Riggs,,7-8-0,,0%,0%,0.0,0%,0.00,0%,185
--,0.00,0.00,"5' 8""",Kyle Reyes,,15-7-0,,0%,0%,0.0,0%,0.00,0%,145
Sep 25 1987,2.32,1.56,"5' 10""",Jordan Rinaldi,72,14-7-0,Orthodox,35%,59%,1.2,35%,1.45,20%,145
Jul 14 1987,3.50,3.08,"6' 1""",Danny Roberts,74,18-7-0,Southpaw,40%,51%,0.3,10%,0.26,57%,170
Jul 28 1995,10.66,7.19,"5' 11""",Jacob Rosales,74,13-7-0,Orthodox,46%,44%,0.6,18%,1.12,50%,155
Nov 03 1992,0.97,0.00,"5' 7""",Mateusz Rebecki,66,16-1-0,Southpaw,0%,50%,4.9,50%,9.73,0%,155
--,1.68,0.84,"5' 7""",Paul Rodriguez,,10-9-2,Orthodox,100%,68%,0.0,0%,0.00,50%,155
--,3.22,0.54,"5' 8""",Ray Routh,,2-1-0,Orthodox,21%,28%,0.0,33%,2.69,0%,185
Mar 18 1986,1.64,1.80,"6' 0""",Mike Ricci,76,11-5-0,Southpaw,32%,65%,0.0,100%,0.67,54%,155
Aug 01 1995,3.82,3.32,"5' 9""",Ricardo Ramos,72,16-4-0,Orthodox,38%,57%,0.6,58%,2.58,72%,145
Aug 05 1980,2.27,0.73,"5' 10""",Daniel Roberts,74,15-7-0,Southpaw,20%,46%,2.5,44%,2.46,40%,170
--,6.75,2.01,"5' 8""",Raou Raou,,0-1-0,Orthodox,16%,60%,0.0,0%,0.00,0%,195
Feb 17 1992,5.87,6.19,"6' 3""",Gregory Rodrigues,75,13-4-0,Orthodox,55%,51%,0.6,50%,2.39,100%,185
Dec 08 1974,4.00,2.27,"6' 1""",Dante Rivera,,16-7-0,Southpaw,53%,25%,0.0,0%,0.00,16%,185
Mar 28 1976,4.60,2.27,"6' 0""",Hector Ramirez,,10-6-1,Orthodox,41%,56%,0.5,55%,2.30,66%,205
Jul 16 1978,22.50,0.00,"5' 6""",Ryan Roberts,,21-12-1 (1 NC),Orthodox,0%,45%,0.0,0%,0.00,0%,155
Feb 17 1995,3.91,4.78,"5' 4""",Juancamilo Ronderos,,4-1-0,,34%,67%,0.0,0%,0.00,0%,125
Jun 27 1987,1.53,1.80,"6' 3""",Ben Reiter,,17-2-1,,46%,54%,0.0,43%,7.00,0%,185
Jan 13 1976,1.36,0.75,"5' 7""",Leigh Remedios,,18-10-2,Orthodox,41%,68%,0.0,0%,0.00,33%,155
Jul 14 1979,2.65,2.04,"5' 10""",Shane Roller,72,11-7-0,Orthodox,34%,60%,1.9,33%,2.46,42%,155
May 28 1983,4.41,4.03,"6' 4""",Aaron Rosa,77,18-6-0,Orthodox,47%,45%,0.4,33%,0.36,85%,205
Jun 16 1996,4.40,3.37,"5' 8""",Drako Rodriguez,69,7-3-0,Orthodox,36%,58%,0.7,66%,2.93,75%,135
Feb 28 1972,2.64,3.16,"6' 1""",Jorge Rivera,73,20-9-0,Orthodox,48%,54%,0.1,50%,0.84,63%,185
Dec 30 1994,4.11,6.14,"5' 5""",Karol Rosa,67,16-4-0,Orthodox,56%,49%,0.0,50%,1.67,72%,135
Jul 16 1982,1.29,1.57,"5' 9""",Alvin Robinson,68,15-9-0,Southpaw,50%,51%,1.2,50%,1.24,25%,155
Oct 16 1980,3.29,2.19,"5' 5""",Rafael Rebello,67,9-4-0,Orthodox,32%,58%,0.5,33%,2.82,75%,135
Jul 17 1992,0.00,9.60,"6' 1""",Claudio Ribeiro,77,10-2-0,Orthodox,66%,100%,0.0,0%,0.00,0%,185
Dec 17 1984,0.00,0.00,--,Joe Ray,,13-0-0,,0%,0%,0.0,0%,0.00,0%,170
Oct 23 1994,1.39,2.54,"6' 1""",Shavkat Rakhmonov,77,16-0-0,Orthodox,53%,55%,1.7,50%,2.31,100%,170
Oct 04 1990,2.42,2.57,"6' 1""",Karl Roberson,74,9-6-0,Southpaw,51%,57%,0.5,40%,0.72,42%,205
Nov 28 1988,4.24,4.35,"6' 4""",Mike Rodriguez,82,11-7-0 (1 NC),Southpaw,53%,41%,0.0,0%,0.00,37%,205
May 31 1983,4.13,2.93,"5' 5""",Maria Rios,,2-3-0,,34%,56%,0.0,50%,2.00,100%,125
Jul 22 1985,0.00,0.00,"6' 0""",Ian Rammel,,7-8-0,,0%,0%,0.0,0%,0.00,0%,185
Jun 23 1985,3.49,4.06,"5' 8""",Mike Richman,,18-7-0,,44%,43%,0.0,0%,0.00,76%,135
Sep 28 1976,2.38,1.35,"5' 7""",Jordan Radev,,23-5-0,Southpaw,23%,66%,0.0,0%,0.00,80%,185
--,0.00,0.00,"5' 6""",Hussain Rasouli,,2-3-0,,0%,0%,0.0,0%,0.00,0%,135
Jul 22 1971,0.00,0.00,"5' 6""",Joao Roque,,7-2-4,Orthodox,0%,0%,0.0,0%,0.00,0%,155
Jun 13 1982,2.92,2.61,"6' 0""",Greg Rebello,73,24-8-0,Southpaw,39%,58%,0.0,0%,0.00,0%,240
Mar 17 1988,3.23,2.93,"6' 2""",Jairzinho Rozenstruik,78,13-4-0,Orthodox,46%,45%,0.0,0%,0.00,75%,242
--,0.00,0.00,--,Brad Royster,,1-2-0,,0%,0%,0.0,0%,0.00,0%,135
May 22 1982,0.00,0.00,--,John Richard,,3-5-1,,0%,0%,0.0,0%,0.00,0%,205
Dec 07 1974,0.00,0.67,"6' 0""",Amir Rahnavardi,,11-10-0,Orthodox,25%,100%,0.0,0%,0.00,50%,205
Jan 18 1981,5.60,2.40,"5' 8""",Luis Ramos,,20-10-2,Orthodox,35%,42%,0.0,20%,1.50,100%,170
Feb 11 1994,3.12,3.14,"6' 2""",Roosevelt Roberts,73,10-3-0 (1 NC),Orthodox,44%,53%,0.9,29%,1.44,58%,155
Apr 25 1985,3.23,0.81,"5' 9""",Manuel Rodriguez,,11-5-0,Orthodox,33%,38%,0.0,75%,9.09,0%,170
Feb 14 1984,3.02,3.72,"5' 10""",Kenny Robertson,74,15-5-0,Orthodox,47%,52%,0.8,26%,1.37,57%,170
Apr 20 1977,1.00,0.80,"5' 10""",Moise Rimbon,,23-11-3,Orthodox,34%,71%,0.0,50%,1.00,37%,205
Dec 09 1980,3.78,3.45,"5' 8""",Aaron Riley,69,30-14-1,Southpaw,34%,61%,0.1,34%,1.18,60%,155
--,0.00,0.00,--,Dennis Reed,,45-62-1,Orthodox,0%,0%,0.0,0%,0.00,0%,205
Nov 05 1986,3.44,2.64,"5' 6""",Davi Ramos,70,10-4-0,Orthodox,37%,56%,0.6,40%,1.95,83%,155
Sep 11 1976,2.90,1.55,"6' 1""",Mike Russow,73,15-3-0 (1 NC),Orthodox,47%,59%,0.7,43%,4.66,0%,255
Mar 11 1987,4.80,3.70,--,Matt Ricehouse,,6-1-0,,44%,47%,0.0,22%,1.00,81%,155
Apr 14 1977,3.55,2.50,"5' 7""",Jessica Rakoczy,,1-5-0 (1 NC),Orthodox,44%,64%,0.8,20%,0.75,0%,115
Nov 07 1984,5.52,6.00,"5' 11""",Marco Polo Reyes,71,8-7-0,Orthodox,37%,59%,0.0,0%,0.00,46%,155
--,14.21,0.00,--,Zach Rosol,,3-2-0,,0%,25%,0.0,0%,0.00,0%,243
Aug 05 1986,4.75,5.80,"5' 11""",Victor Reyna,74,11-5-0 (1 NC),Southpaw,63%,42%,0.0,0%,0.00,100%,170
Mar 07 2000,6.38,4.27,"5' 9""",Rong Zhu,71,21-5-0,Orthodox,47%,44%,0.0,62%,3.64,100%,155
Dec 11 1990,1.86,3.78,"6' 2""",Alexandr Romanov,75,16-1-0,Southpaw,50%,48%,1.1,62%,5.18,20%,262
Jul 21 1982,2.53,2.48,"5' 11""",Alex Ricci,,10-5-0,Orthodox,41%,64%,0.0,0%,0.00,64%,155
Dec 05 1992,3.57,2.77,"5' 3""",Elise Reed,63,6-2-0,Orthodox,51%,50%,0.0,100%,0.94,50%,115
Feb 11 1989,5.66,4.48,"5' 6""",Bec Rawlings,64,7-8-0,Orthodox,42%,57%,0.4,40%,0.71,68%,125
--,0.00,0.00,--,Keenan Raymond,,3-3-0,,0%,0%,0.0,0%,0.00,0%,165
Aug 05 1991,4.93,1.41,"5' 11""",Stephen Regman,76,9-4-0,Orthodox,60%,23%,0.0,100%,3.52,0%,185
